"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1847","User login with wrong email or password:   ","LMS system","Sat Apr 25 09:15:49 UTC 2026","passed","Sat Apr 25 09:15:51 UTC 2026","Authorization","Authentication","",""
"","2163","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 09:15:47 UTC 2026","passed","Sat Apr 25 09:15:49 UTC 2026","Authorization","Authentication","",""
"","3150","Edit course","LMS system","Sat Apr 25 09:15:57 UTC 2026","passed","Sat Apr 25 09:16:00 UTC 2026","Courses","Courses","",""
"","1795","Registration with correct email, username and password","LMS system","Sat Apr 25 09:15:52 UTC 2026","passed","Sat Apr 25 09:15:54 UTC 2026","Registration","Authentication","",""
"","1879","Check displaying of dashboard page","LMS system","Sat Apr 25 09:15:59 UTC 2026","passed","Sat Apr 25 09:16:01 UTC 2026","Dashboard","Dashboard","",""
"","1686","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 09:15:50 UTC 2026","passed","Sat Apr 25 09:15:52 UTC 2026","Authorization","Authentication","",""
"","3280","User login with correct email or password","LMS system","Sat Apr 25 09:15:47 UTC 2026","passed","Sat Apr 25 09:15:50 UTC 2026","Authorization","Authentication","",""
"","2365","Create course","LMS system","Sat Apr 25 09:15:56 UTC 2026","passed","Sat Apr 25 09:15:58 UTC 2026","Courses","Courses","",""
"","1666","Navigation from login page to registration page","LMS system","Sat Apr 25 09:15:51 UTC 2026","passed","Sat Apr 25 09:15:53 UTC 2026","Authorization","Authentication","",""
"","1462","Check displaying of empty courses list","LMS system","Sat Apr 25 09:15:55 UTC 2026","passed","Sat Apr 25 09:15:56 UTC 2026","Courses","Courses","",""
