"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2474","Create course","LMS system","Mon Apr 27 19:48:24 UTC 2026","passed","Mon Apr 27 19:48:26 UTC 2026","Courses","Courses","",""
"","1435","Navigation from login page to registration page","LMS system","Mon Apr 27 19:48:19 UTC 2026","passed","Mon Apr 27 19:48:21 UTC 2026","Authorization","Authentication","",""
"","1754","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:48:18 UTC 2026","passed","Mon Apr 27 19:48:20 UTC 2026","Authorization","Authentication","",""
"","1875","Check displaying of dashboard page","LMS system","Mon Apr 27 19:48:27 UTC 2026","passed","Mon Apr 27 19:48:29 UTC 2026","Dashboard","Dashboard","",""
"","2013","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:48:15 UTC 2026","passed","Mon Apr 27 19:48:17 UTC 2026","Authorization","Authentication","",""
"","3071","Edit course","LMS system","Mon Apr 27 19:48:24 UTC 2026","passed","Mon Apr 27 19:48:27 UTC 2026","Courses","Courses","",""
"","1790","User login with wrong email or password:   ","LMS system","Mon Apr 27 19:48:17 UTC 2026","passed","Mon Apr 27 19:48:19 UTC 2026","Authorization","Authentication","",""
"","1477","Check displaying of empty courses list","LMS system","Mon Apr 27 19:48:23 UTC 2026","passed","Mon Apr 27 19:48:24 UTC 2026","Courses","Courses","",""
"","1746","Registration with correct email, username and password","LMS system","Mon Apr 27 19:48:20 UTC 2026","passed","Mon Apr 27 19:48:22 UTC 2026","Registration","Authentication","",""
"","3291","User login with correct email or password","LMS system","Mon Apr 27 19:48:15 UTC 2026","passed","Mon Apr 27 19:48:18 UTC 2026","Authorization","Authentication","",""
