"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3436","User login with correct email or password","LMS system","Sat Apr 25 09:08:20 UTC 2026","passed","Sat Apr 25 09:08:23 UTC 2026","Authorization","Authentication","",""
"","3303","Edit course","LMS system","Sat Apr 25 09:08:30 UTC 2026","passed","Sat Apr 25 09:08:33 UTC 2026","Courses","Courses","",""
"","1549","Check displaying of empty courses list","LMS system","Sat Apr 25 09:08:28 UTC 2026","passed","Sat Apr 25 09:08:29 UTC 2026","Courses","Courses","",""
"","1903","User login with wrong email or password:   ","LMS system","Sat Apr 25 09:08:22 UTC 2026","passed","Sat Apr 25 09:08:24 UTC 2026","Authorization","Authentication","",""
"","1797","Registration with correct email, username and password","LMS system","Sat Apr 25 09:08:25 UTC 2026","passed","Sat Apr 25 09:08:27 UTC 2026","Registration","Authentication","",""
"","2538","Create course","LMS system","Sat Apr 25 09:08:29 UTC 2026","passed","Sat Apr 25 09:08:32 UTC 2026","Courses","Courses","",""
"","1669","Navigation from login page to registration page","LMS system","Sat Apr 25 09:08:24 UTC 2026","passed","Sat Apr 25 09:08:26 UTC 2026","Authorization","Authentication","",""
"","2028","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 09:08:20 UTC 2026","passed","Sat Apr 25 09:08:22 UTC 2026","Authorization","Authentication","",""
"","1931","Check displaying of dashboard page","LMS system","Sat Apr 25 09:08:32 UTC 2026","passed","Sat Apr 25 09:08:34 UTC 2026","Dashboard","Dashboard","",""
"","1827","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 09:08:23 UTC 2026","passed","Sat Apr 25 09:08:25 UTC 2026","Authorization","Authentication","",""
