"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3282","Edit course","LMS system","Mon Apr 27 19:27:21 UTC 2026","passed","Mon Apr 27 19:27:24 UTC 2026","Courses","Courses","",""
"","1555","Check displaying of empty courses list","LMS system","Mon Apr 27 19:27:19 UTC 2026","passed","Mon Apr 27 19:27:21 UTC 2026","Courses","Courses","",""
"","3269","User login with correct email or password","LMS system","Mon Apr 27 19:27:11 UTC 2026","passed","Mon Apr 27 19:27:15 UTC 2026","Authorization","Authentication","",""
"","1761","User login with wrong email or password:   ","LMS system","Mon Apr 27 19:27:14 UTC 2026","passed","Mon Apr 27 19:27:15 UTC 2026","Authorization","Authentication","",""
"","2095","Check displaying of dashboard page","LMS system","Mon Apr 27 19:27:23 UTC 2026","passed","Mon Apr 27 19:27:25 UTC 2026","Dashboard","Dashboard","",""
"","1703","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:27:15 UTC 2026","passed","Mon Apr 27 19:27:17 UTC 2026","Authorization","Authentication","",""
"","2448","Create course","LMS system","Mon Apr 27 19:27:20 UTC 2026","passed","Mon Apr 27 19:27:23 UTC 2026","Courses","Courses","",""
"","1952","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:27:11 UTC 2026","passed","Mon Apr 27 19:27:13 UTC 2026","Authorization","Authentication","",""
"","1758","Registration with correct email, username and password","LMS system","Mon Apr 27 19:27:17 UTC 2026","passed","Mon Apr 27 19:27:19 UTC 2026","Registration","Authentication","",""
"","1479","Navigation from login page to registration page","LMS system","Mon Apr 27 19:27:16 UTC 2026","passed","Mon Apr 27 19:27:17 UTC 2026","Authorization","Authentication","",""
