"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2304","Create course","LMS system","Mon Apr 27 19:55:02 UTC 2026","passed","Mon Apr 27 19:55:05 UTC 2026","Courses","Courses","",""
"","1824","User login with wrong email or password:   ","LMS system","Mon Apr 27 19:54:56 UTC 2026","passed","Mon Apr 27 19:54:58 UTC 2026","Authorization","Authentication","",""
"","3443","User login with correct email or password","LMS system","Mon Apr 27 19:54:53 UTC 2026","passed","Mon Apr 27 19:54:57 UTC 2026","Authorization","Authentication","",""
"","1513","Check displaying of empty courses list","LMS system","Mon Apr 27 19:55:01 UTC 2026","passed","Mon Apr 27 19:55:03 UTC 2026","Courses","Courses","",""
"","1713","Registration with correct email, username and password","LMS system","Mon Apr 27 19:54:59 UTC 2026","passed","Mon Apr 27 19:55:01 UTC 2026","Registration","Authentication","",""
"","1820","Check displaying of dashboard page","LMS system","Mon Apr 27 19:55:05 UTC 2026","passed","Mon Apr 27 19:55:07 UTC 2026","Dashboard","Dashboard","",""
"","1463","Navigation from login page to registration page","LMS system","Mon Apr 27 19:54:58 UTC 2026","passed","Mon Apr 27 19:55:00 UTC 2026","Authorization","Authentication","",""
"","1756","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:54:57 UTC 2026","passed","Mon Apr 27 19:54:59 UTC 2026","Authorization","Authentication","",""
"","3139","Edit course","LMS system","Mon Apr 27 19:55:03 UTC 2026","passed","Mon Apr 27 19:55:06 UTC 2026","Courses","Courses","",""
"","2225","User login with wrong email or password: user.name@gmail.com","LMS system","Mon Apr 27 19:54:53 UTC 2026","passed","Mon Apr 27 19:54:56 UTC 2026","Authorization","Authentication","",""
